0 1550586578.8844898 46.060948848724365 568 384.36619718309856 | 4.105633802816901 | 47.05784975707614
499968 1550587027.974028 47.02380561828613 237 907.2447257383966 | 11.189873417721518 | 62.88081906392414
999936 1550587481.3183227 46.97006702423096 191 1112.0890052356021 | 14.884816753926701 | 63.74191231231124
1499904 1550587951.3229818 57.051915884017944 266 799.5263157894736 | 11.293233082706767 | 54.30362360803856
1999872 1550588467.815246 46.360583543777466 281 768.9395017793594 | 7.765124555160142 | 56.403910296731226
2499840 1550588941.8997517 47.46597623825073 272 792.1470588235294 | 7.551470588235294 | 60.89882822034786
2999808 1550589419.7434316 47.333210468292236 243 890.3292181069959 | 8.037037037037036 | 59.209219486603615
3499776 1550589902.208381 47.41159009933472 166 1272.5240963855422 | 18.072289156626507 | 63.79237550414146
3999744 1550590388.926235 47.342435359954834 236 915.9364406779661 | 11.805084745762711 | 58.59533903086298
4499712 1550590883.486221 48.15552067756653 144 1466.5208333333333 | 26.055555555555557 | 70.69767395451842
4999680 1550591380.7677321 47.93859577178955 137 1537.109489051095 | 33.81751824817518 | 68.52908714732091
5499648 1550591882.911822 47.49785351753235 237 916.3333333333334 | 9.645569620253164 | 58.14904631235246
5999616 1550592386.0874274 48.21045470237732 128 1653.9140625 | 45.328125 | 72.62467956875666
6499584 1550592892.6398656 48.07668471336365 171 1246.0584795321638 | 19.05263157894737 | 65.04660166549375
6999552 1550593400.8361137 47.35426187515259 154 1389.7467532467533 | 21.545454545454547 | 67.72597867450227
7499520 1550593911.9153981 47.236799240112305 228 939.8026315789474 | 9.640350877192983 | 61.16553808855719
7999488 1550594427.9462447 48.277390480041504 150 1401.9266666666667 | 22.973333333333333 | 68.30758740674086
8499456 1550594961.4195971 51.26454043388367 206 1043.2718446601941 | 14.262135922330097 | 61.13515506484061
8999424 1550595520.3491485 51.41895389556885 200 1076.025 | 13.87 | 61.93319164229901
9499392 1550596081.0302846 51.06242346763611 149 1435.6845637583892 | 29.221476510067113 | 67.27776657410456
9999360 1550596642.8396926 51.4100501537323 223 971.5022421524664 | 11.641255605381167 | 63.09927815022466
10499328 1550597210.215909 52.170411348342896 131 1630.381679389313 | 40.30534351145038 | 73.45460606821754
10999296 1550597779.524201 51.60784077644348 154 1379.7272727272727 | 23.603896103896105 | 67.14142445836168
11499264 1550598351.1618092 51.80165934562683 114 1861.9122807017543 | 60.6140350877193 | 77.74678813017312
11999232 1550598924.0030797 51.72921109199524 129 1645.5891472868218 | 41.65891472868217 | 73.19756627306535
12499200 1550599496.7723832 51.36522316932678 132 1623.2954545454545 | 47.553030303030305 | 74.71235767984574
12999168 1550600071.8595724 51.529966831207275 220 979.1409090909091 | 11.572727272727272 | 60.61342336272911
13499136 1550600649.2473366 51.630279541015625 121 1750.280991735537 | 53.69421487603306 | 78.93212352889792
13999104 1550601227.1480048 51.31841540336609 134 1586.402985074627 | 41.492537313432834 | 71.25521001446467
14499072 1550601808.5897174 51.82464337348938 117 1807.2051282051282 | 62.22222222222222 | 79.70701092721785
14999040 1550602391.7986097 52.219454765319824 113 1872.8230088495575 | 67.59292035398231 | 80.62545558561786
15499008 1550602975.3971379 51.652857303619385 116 1797.7931034482758 | 57.96551724137931 | 77.61024886361378
15998976 1550603558.1418314 51.77936148643494 125 1715.608 | 43.888 | 74.65705970195614
16498944 1550604146.094376 52.09151911735535 116 1827.7155172413793 | 66.1896551724138 | 78.965208985773
16998912 1550604736.3501146 51.99481415748596 117 1831.4444444444443 | 61.84615384615385 | 79.01604469225971
17498880 1550605324.93229 51.10266733169556 128 1639.015625 | 46.671875 | 76.70671517377502
17998848 1550605913.9714973 51.66239953041077 114 1874.2631578947369 | 66.3859649122807 | 78.8757329092985
18498816 1550606505.3617144 52.14101481437683 113 1869.1061946902655 | 66.58407079646018 | 81.375535906264
18998784 1550607099.3017302 51.705554723739624 115 1831.5478260869565 | 66.0695652173913 | 82.7897385764476
19498752 1550607691.8087204 51.89278817176819 110 1925.8272727272727 | 74.7090909090909 | 83.45510058480646
19998720 1550608286.2374465 52.257943630218506 118 1811.2796610169491 | 54.69491525423729 | 74.16709684134224
20498688 1550608882.4758668 52.18778586387634 110 1910.590909090909 | 73.27272727272727 | 81.63095550983718
20998656 1550609478.7948396 52.094940185546875 110 1936.418181818182 | 75.12727272727273 | 82.76035616442483
21498624 1550610075.4036496 51.42940592765808 117 1845.1367521367522 | 67.38461538461539 | 82.594125569011
21998592 1550610671.879038 52.15618443489075 109 1935.3761467889908 | 78.9908256880734 | 82.03006349616756
22498560 1550611271.1309512 52.03553915023804 116 1808.905172413793 | 66.13793103448276 | 81.72225607673462
22998528 1550611867.739488 51.67638158798218 112 1909.1607142857142 | 73.0 | 80.48926925447623
23498496 1550612466.1726654 51.57274842262268 111 1905.6486486486488 | 74.93693693693693 | 81.10270860724421
23998464 1550613066.3709803 52.05223250389099 113 1886.513274336283 | 68.60176991150442 | 80.40482988441758
24498432 1550613666.5656211 51.61364936828613 109 1942.532110091743 | 74.4954128440367 | 83.28700609275239
24998400 1550614269.479864 51.533950328826904 111 1909.5495495495495 | 73.69369369369369 | 82.92190164940672
25498368 1550614875.711443 51.85046720504761 107 1978.803738317757 | 81.27102803738318 | 84.60502471864578
25998336 1550615479.292702 51.85941433906555 113 1880.8938053097345 | 72.76106194690266 | 83.51638028774659
26498304 1550616081.650145 52.31367039680481 115 1860.0608695652174 | 64.0695652173913 | 76.30919030826833
26998272 1550616686.8643556 51.96008014678955 113 1855.0176991150443 | 71.11504424778761 | 82.22347231131307
